checking,duration,history,purpose,amount,savings,employed,installp,marital,coapp,resident,property,age,housing,existcr,job,depends,telephon,foreign,good_bad
< 0 DM,6,Dues Remain,Television,1169,Unknown,>7 Years,4,Male M/D,None,4,Real Estate,67,Own,2,Skilled,1,Registered,No,good
0 <= ... < 200 DM,48,Existing paid,Television,5951,< 100 DM ,1-4 Years,2,Female M/D,None,2,Real Estate,22,Own,1,Skilled,1,None,No,bad
No Acc,12,Dues Remain,Education,2096,< 100 DM ,4-7 Years,2,Male M/D,None,3,Real Estate,49,Own,1,Unskilled,2,None,No,good
< 0 DM,42,Existing paid,Furniture,7882,< 100 DM ,4-7 Years,2,Male M/D,Guarantor,4,Building society,45,Free,1,Skilled,2,None,No,good
< 0 DM,24,Delayed,New Car,4870,< 100 DM ,1-4 Years,3,Male M/D,None,4,Unknown,53,Free,2,Skilled,2,None,No,bad
No Acc,36,Existing paid,Education,9055,Unknown,1-4 Years,2,Male M/D,None,4,Unknown,35,Free,1,Unskilled,2,Registered,No,good
No Acc,24,Existing paid,Furniture,2835,500-1000 DM,>7 Years,3,Male M/D,None,4,Building society,53,Own,1,Skilled,1,None,No,good
0 <= ... < 200 DM,36,Existing paid,Old Car,6948,< 100 DM ,1-4 Years,2,Male M/D,None,2,Others,35,Rent,1,Highly Qualified,1,Registered,No,good
No Acc,12,Existing paid,Television,3059,>1000 DM,4-7 Years,2,Female S,None,4,Real Estate,61,Own,1,Unskilled,1,None,No,good
0 <= ... < 200 DM,30,Dues Remain,New Car,5234,< 100 DM ,Unemployed,4,Male S,None,2,Others,28,Own,2,Highly Qualified,1,None,No,bad
0 <= ... < 200 DM,12,Existing paid,New Car,1295,< 100 DM ,1 Year,3,Female M/D,None,1,Others,25,Rent,1,Skilled,1,None,No,bad
< 0 DM,48,Existing paid,Business,4308,< 100 DM ,1 Year,3,Female M/D,None,4,Building society,24,Rent,1,Skilled,1,None,No,bad
0 <= ... < 200 DM,12,Existing paid,Television,1567,< 100 DM ,1-4 Years,1,Female M/D,None,1,Others,22,Own,1,Skilled,1,Registered,No,good
< 0 DM,24,Dues Remain,New Car,1199,< 100 DM ,>7 Years,4,Male M/D,None,4,Others,60,Own,2,Unskilled,1,None,No,bad
< 0 DM,15,Existing paid,New Car,1403,< 100 DM ,1-4 Years,2,Female M/D,None,4,Others,28,Rent,1,Skilled,1,None,No,good
< 0 DM,24,Existing paid,Television,1282,100-500 DM,1-4 Years,4,Female M/D,None,2,Others,32,Own,1,Unskilled,1,None,No,bad
No Acc,24,Dues Remain,Television,2424,Unknown,>7 Years,4,Male M/D,None,4,Building society,53,Own,2,Skilled,1,None,No,good
< 0 DM,30,All Paid,Business,8072,Unknown,1 Year,2,Male M/D,None,3,Others,25,Own,3,Skilled,1,None,No,good
0 <= ... < 200 DM,24,Existing paid,Old Car,12579,< 100 DM ,>7 Years,4,Female M/D,None,2,Unknown,44,Free,1,Highly Qualified,1,Registered,No,bad
No Acc,24,Existing paid,Television,3430,500-1000 DM,>7 Years,3,Male M/D,None,2,Others,31,Own,1,Skilled,2,Registered,No,good
No Acc,9,Dues Remain,New Car,2134,< 100 DM ,1-4 Years,4,Male M/D,None,4,Others,48,Own,3,Skilled,1,Registered,No,good
< 0 DM,6,Existing paid,Television,2647,500-1000 DM,1-4 Years,2,Male M/D,None,3,Real Estate,44,Rent,1,Skilled,2,None,No,good
< 0 DM,10,Dues Remain,New Car,2241,< 100 DM ,1 Year,1,Male M/D,None,3,Real Estate,48,Rent,2,Unskilled,2,None,Yes,good
0 <= ... < 200 DM,12,Dues Remain,Old Car,1804,100-500 DM,1 Year,3,Male M/D,None,4,Building society,44,Own,1,Skilled,1,None,No,good
No Acc,10,Dues Remain,Furniture,2069,Unknown,1-4 Years,2,Male S,None,1,Others,26,Own,2,Skilled,1,None,Yes,good
< 0 DM,6,Existing paid,Furniture,1374,< 100 DM ,1-4 Years,1,Male M/D,None,2,Real Estate,36,Own,1,Unskilled,1,Registered,No,good
No Acc,6,All Paid,Television,426,< 100 DM ,>7 Years,4,Male S,None,4,Others,39,Own,1,Unskilled,1,None,No,good
>= 200 DM,12,Bank paid,Television,409,>1000 DM,1-4 Years,3,Female M/D,None,3,Real Estate,42,Rent,2,Skilled,1,None,No,good
0 <= ... < 200 DM,7,Existing paid,Television,2415,< 100 DM ,1-4 Years,3,Male M/D,Guarantor,2,Real Estate,34,Own,1,Skilled,1,None,No,good
< 0 DM,60,Delayed,Business,6836,< 100 DM ,>7 Years,3,Male M/D,None,4,Unknown,63,Own,2,Skilled,1,Registered,No,bad
